nome,username,score,player,attempts,won,lang,timestamp
,,140,Anonimo,1.0,True,en,
,,140,Anonimo,1.0,True,it,
,,140,lore,1.0,True,it,
,,140,amastro,1.0,True,it,2026-01-02T15:39:14.485772
,,130,Anonimo,2.0,True,it,
,,130,Anonimo,2.0,True,it,
,,130,lore,2.0,True,it,
,,130,amastro,2.0,True,en,2026-01-02T15:35:18.896953
,,130,amastro,2.0,True,it,
,,130,amastro,2.0,True,it,2026-01-02T15:40:54.449182
,,120,Anonimo,3.0,True,en,
,,110,LucaSozzi,4.0,True,it,2026-01-03T15:35:02.049315
,,100,Anonimo,5.0,True,it,
,,40,amastro,6.0,False,it,
asd,asd,0,,,,,
sad,sad,0,,,,,
asd,asd,0,,,,,
asd,asd,0,,,,,
sad,asd,0,,,,,
